DO NOT EDIT THIS FILE. YOU CANNOT REORDER ROWS ETC. SKIP THIS LINE WHILE READING.
Student ID,Student Name,Course Department,Course Code,Credit Hours,Course Name,Grade Received
1567,Metin Tekin,BUS,102,4,Enterpreneurship,B+
3537,Ike Shorunmu,BUS,102,4,Enterpreneurship,B-
7865,Ali Gültiken,BUS,102,4,Enterpreneurship,C-
5829,Baba Hakkı,BUS,102,4,Enterpreneurship,A
1325,,BUS,102,4,Enterpreneurship,B-
4235,Feyyaz Ucar,BUS,102,4,Enterpreneurship,B
5266,,BUS,102,4,Enterpreneurship,B
3512,Sergen Yalcin,CS,201,6,Data Structures and Algorithms,A
3677,Ali Eren,CS,201,6,Data Structures and Algorithms,C-
1567,Metin Tekin,CS,201,6,Data Structures and Algorithms,B+
3537,Ike Shorunmu,CS,201,6,Data Structures and Algorithms,D
7865,Ali Gultiken,CS,201,6,Data Structures and Algorithms,D
5829,Hakkı Yeten,CS,201,6,Data Structures and Algorithms,A-
1325,Mehmet Ozdilek,CS,201,6,Data Structures and Algorithms,C+
3537,IKE,CS,201,6,Data Structures and Algorithms,D
4235,Feyyaz Ucar,ENG,101,4,English I,A-
5266,Suleyman Seba,ENG,101,4,English I,B+
3512,Sergen Yalcin,ENG,101,4,English I,A-
3677,Ali Eren,ENG,101,4,English I,C-
1567,Metin Tekin,ENG,101,4,English I,A
3537,Shorunmu,ENG,101,4,English I,C-
7861,George Weah,ENG,101,4,English I,A
5928,Hakkı Yeten,IE,246,6,Programming for OR,A
7865,Ali Gultiken,IE,201,6,Operations Research I,C
1325,Mehmet Ozdilek,IE,246,6,Programming for OR,B+
5829,Hakkı Yeten,IE,201,6,Operations Research I,A
4235,Feyyaz Ucar,IE,246,6,Programming for OR,A-
1325,Mehmet Ozdilek,IE,201,6,Operations Research I,B
5266,Suleyman Seba,IE,246,6,Programming for OR,B+
4235,Feyyaz Ucar,IE,201,6,Operations Research I,B
3512,Sergen Yalcin,IE,246,6,Programming for OR,A
5266,Suleyman Seba,IE,201,6,Operations Research I,B
3677,Ali Eren,IE,246,6,Programming for OR,B-
3512,Sergen Yalcin,IE,201,6,Operations Research I,B+
1567,Metin Tekin,IE,246,6,Programming for OR,A-
3677,Ali Eren Beserler,IE,201,6,Operations Research I,B-
